timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
928340884,0.00229482,-0.00372856,0.00541366,0.83856,0.0043599,0.0352721,-0.543649,0.870776,-0.0397471,-0.0356996,-0.488769,1
928372953,-0.000847237,0.00367266,0.00198513,0.838593,0.00439615,0.0352944,-0.543596,0.870776,-0.0397471,-0.0356996,-0.488769,1
928404901,0.000162793,-0.00579676,-0.0056223,0.838584,0.00435699,0.0352623,-0.543612,0.870776,-0.0397471,-0.0356996,-0.488769,1
928436974,0.000244018,0.0049722,-0.00725876,0.838528,0.0043471,0.0352481,-0.5437,0.870776,-0.0397471,-0.0356996,-0.488769,1
928468851,0.00181755,-0.00133844,0.000545566,0.838506,0.00440619,0.0352886,-0.54373,0.870776,-0.0397471,-0.0356996,-0.488769,1
928500923,-0.00569918,-0.00597689,0.00515495,0.838547,0.00433384,0.0352289,-0.543672,0.870776,-0.0397471,-0.0356996,-0.488769,1
928532897,0.00268685,0.00315429,0.000730154,0.838569,0.00432582,0.0352244,-0.543638,0.870776,-0.0397471,-0.0356996,-0.488769,1
928564920,-0.000403863,-0.00456095,-0.00250452,0.838555,0.00432572,0.0351986,-0.543662,0.870776,-0.0397471,-0.0356996,-0.488769,1
928597758,-0.00213682,-0.000282196,-0.00249598,0.838523,0.00429832,0.0351486,-0.543715,0.870776,-0.0397471,-0.0356996,-0.488769,1
928629677,0.000298706,0.000117347,0.00280949,0.838518,0.00430319,0.0351699,-0.543721,0.870776,-0.0397471,-0.0356996,-0.488769,1
928661724,0.00326322,-0.00268891,0.00354436,0.838553,0.00432859,0.0351204,-0.543669,0.870776,-0.0397471,-0.0356996,-0.488769,1
928693705,-0.0025954,0.00239704,-0.000146286,0.838567,0.00432846,0.0351258,-0.543648,0.870776,-0.0397471,-0.0356996,-0.488769,1
928721744,-2.2829e-05,-0.00322836,-0.00373208,0.838549,0.0043414,0.0351254,-0.543675,0.870776,-0.0397471,-0.0356996,-0.488769,1
928753719,-0.000400114,-0.0023759,-0.00249457,0.838513,0.00430794,0.0350509,-0.543737,0.870776,-0.0397471,-0.0356996,-0.488769,1
